Frame ID | Spatial Relations
--------------------------------------------------
F0001 | [human_body] is behind [container_box], [human_body] is holding [yellow_box] (score: 0.84), [human_body] is touching [container_box] (score: 0.80), [human_body] is touching [red_box] (score: 0.76), [human_body] is on [operator_hand] (score: 0.12), [container_box] is behind [red_box] (score: 0.31), [container_box] is below [human_body] (score: 0.17), [container_box] is in front of [yellow_box] (score: 0.13), [operator_hand] is on [human_body] (score: 0.10), [red_box] is on [container_box] (score: 0.33), [red_box] is in front of [human_body] (score: 0.16), [red_box] is in front of [yellow_box] (score: 0.13), [yellow_box] is on [container_box] (score: 0.48), [yellow_box] is on [red_box] (score: 0.43), [yellow_box] is below [human_body] (score: 0.15), [yellow_box] is below [operator_hand] (score: 0.09)
F0002 | [human_body] is behind [container_box], [human_body] is holding [yellow_box] (score: 0.84), [human_body] is touching [container_box] (score: 0.80), [human_body] is touching [red_box] (score: 0.76), [human_body] is on [operator_hand] (score: 0.12), [container_box] is behind [red_box] (score: 0.31), [container_box] is below [human_body] (score: 0.17), [container_box] is in front of [yellow_box] (score: 0.13), [operator_hand] is on [human_body] (score: 0.10), [red_box] is on [container_box] (score: 0.33), [red_box] is in front of [human_body] (score: 0.16), [red_box] is in front of [yellow_box] (score: 0.13)
F0003 | [human_body] is behind [container_box], [human_body] is holding [yellow_box] (score: 0.84), [human_body] is touching [container_box] (score: 0.80), [human_body] is touching [red_box] (score: 0.76), [human_body] is on [operator_hand] (score: 0.12), [container_box] is behind [red_box] (score: 0.31), [container_box] is below [human_body] (score: 0.17), [container_box] is in front of [yellow_box] (score: 0.13), [operator_hand] is on [human_body] (score: 0.10), [red_box] is on [container_box] (score: 0.33), [red_box] is in front of [human_body] (score: 0.16), [red_box] is in front of [yellow_box] (score: 0.13), [yellow_box] is on [container_box] (score: 0.48), [yellow_box] is on [red_box] (score: 0.43), [yellow_box] is below [human_body] (score: 0.15), [yellow_box] is below [operator_hand] (score: 0.09)
F0004 | [human_body] is behind [container_box], [human_body] is holding [yellow_box] (score: 0.84), [human_body] is touching [container_box] (score: 0.80), [human_body] is touching [red_box] (score: 0.76), [human_body] is on [operator_hand] (score: 0.12), [container_box] is behind [red_box] (score: 0.31), [container_box] is below [human_body] (score: 0.17), [container_box] is in front of [yellow_box] (score: 0.13), [operator_hand] is on [human_body] (score: 0.10), [red_box] is on [container_box] (score: 0.33), [red_box] is in front of [human_body] (score: 0.16), [red_box] is in front of [yellow_box] (score: 0.13), [yellow_box] is on [container_box] (score: 0.48), [yellow_box] is on [red_box] (score: 0.43), [yellow_box] is below [human_body] (score: 0.15), [yellow_box] is below [operator_hand] (score: 0.09)
F0005 | [human_body] is behind [container_box], [human_body] is holding [yellow_box] (score: 0.84), [human_body] is touching [container_box] (score: 0.80), [human_body] is touching [red_box] (score: 0.76), [human_body] is on [operator_hand] (score: 0.12), [container_box] is behind [red_box] (score: 0.31), [container_box] is below [human_body] (score: 0.17), [container_box] is in front of [yellow_box] (score: 0.13), [operator_hand] is on [human_body] (score: 0.10), [red_box] is on [container_box] (score: 0.33), [red_box] is in front of [human_body] (score: 0.16), [red_box] is in front of [yellow_box] (score: 0.13), [yellow_box] is on [container_box] (score: 0.48), [yellow_box] is on [red_box] (score: 0.43), [yellow_box] is below [human_body] (score: 0.15), [yellow_box] is below [operator_hand] (score: 0.09)
F0006 | [human_body] is behind [container_box], [human_body] is holding [yellow_box] (score: 0.84), [human_body] is touching [container_box] (score: 0.80), [human_body] is touching [red_box] (score: 0.76), [human_body] is on [operator_hand] (score: 0.12), [container_box] is behind [red_box] (score: 0.31), [container_box] is below [human_body] (score: 0.17), [container_box] is in front of [yellow_box] (score: 0.13), [operator_hand] is on [human_body] (score: 0.10), [red_box] is on [container_box] (score: 0.33), [red_box] is in front of [human_body] (score: 0.16), [red_box] is in front of [yellow_box] (score: 0.13), [yellow_box] is on [container_box] (score: 0.48), [yellow_box] is on [red_box] (score: 0.43), [yellow_box] is below [human_body] (score: 0.15), [yellow_box] is below [operator_hand] (score: 0.09)
F0007 | [human_body] is behind [container_box], [human_body] is holding [yellow_box] (score: 0.84), [human_body] is touching [container_box] (score: 0.80), [human_body] is touching [red_box] (score: 0.76), [human_body] is on [operator_hand] (score: 0.12), [container_box] is behind [red_box] (score: 0.31), [container_box] is below [human_body] (score: 0.17), [container_box] is in front of [yellow_box] (score: 0.13), [operator_hand] is on [human_body] (score: 0.10), [red_box] is on [container_box] (score: 0.33), [red_box] is in front of [human_body] (score: 0.16), [red_box] is in front of [yellow_box] (score: 0.13), [yellow_box] is on [container_box] (score: 0.48), [yellow_box] is on [red_box] (score: 0.43), [yellow_box] is below [human_body] (score: 0.15), [yellow_box] is below [operator_hand] (score: 0.09)
F0008 | [human_body] is behind [container_box], [human_body] is holding [yellow_box] (score: 0.84), [human_body] is touching [container_box] (score: 0.80), [human_body] is touching [red_box] (score: 0.76), [human_body] is on [operator_hand] (score: 0.12), [container_box] is behind [red_box] (score: 0.31), [container_box] is below [human_body] (score: 0.17), [container_box] is in front of [yellow_box] (score: 0.13), [operator_hand] is on [human_body] (score: 0.10), [red_box] is on [container_box] (score: 0.33), [red_box] is in front of [human_body] (score: 0.16), [red_box] is in front of [yellow_box] (score: 0.13), [yellow_box] is on [container_box] (score: 0.48), [yellow_box] is on [red_box] (score: 0.43), [yellow_box] is below [human_body] (score: 0.15), [yellow_box] is below [operator_hand] (score: 0.09)
F0009 | [human_body] is behind [container_box], [human_body] is holding [yellow_box] (score: 0.84), [human_body] is touching [container_box] (score: 0.80), [human_body] is touching [red_box] (score: 0.76), [human_body] is on [operator_hand] (score: 0.12), [container_box] is behind [red_box] (score: 0.31), [container_box] is below [human_body] (score: 0.17), [container_box] is in front of [yellow_box] (score: 0.13), [operator_hand] is on [human_body] (score: 0.10), [red_box] is on [container_box] (score: 0.33), [red_box] is in front of [human_body] (score: 0.16), [red_box] is in front of [yellow_box] (score: 0.13), [yellow_box] is on [container_box] (score: 0.48), [yellow_box] is on [red_box] (score: 0.43), [yellow_box] is below [human_body] (score: 0.15), [yellow_box] is below [operator_hand] (score: 0.09)
F0010 | [human_body] is behind [container_box], [human_body] is holding [yellow_box] (score: 0.84), [human_body] is touching [container_box] (score: 0.80), [human_body] is touching [red_box] (score: 0.76), [human_body] is on [operator_hand] (score: 0.12), [container_box] is behind [red_box] (score: 0.31), [container_box] is below [human_body] (score: 0.17), [container_box] is in front of [yellow_box] (score: 0.13), [operator_hand] is on [human_body] (score: 0.10), [red_box] is on [container_box] (score: 0.33), [red_box] is in front of [human_body] (score: 0.16), [red_box] is in front of [yellow_box] (score: 0.13), [yellow_box] is on [container_box] (score: 0.48), [yellow_box] is on [red_box] (score: 0.43), [yellow_box] is below [human_body] (score: 0.15), [yellow_box] is below [operator_hand] (score: 0.09)
F0011 | [human_body] is behind [container_box], [human_body] is holding [yellow_box] (score: 0.84), [human_body] is touching [container_box] (score: 0.80), [human_body] is touching [red_box] (score: 0.76), [human_body] is on [operator_hand] (score: 0.12), [container_box] is behind [red_box] (score: 0.31), [container_box] is below [human_body] (score: 0.17), [container_box] is in front of [yellow_box] (score: 0.13), [operator_hand] is on [human_body] (score: 0.10), [red_box] is on [container_box] (score: 0.33), [red_box] is in front of [human_body] (score: 0.16), [red_box] is in front of [yellow_box] (score: 0.13), [yellow_box] is on [container_box] (score: 0.48), [yellow_box] is on [red_box] (score: 0.43), [yellow_box] is below [human_body] (score: 0.15), [yellow_box] is below [operator_hand] (score: 0.09)
F0012 | [human_body] is behind [container_box], [human_body] is holding [yellow_box] (score: 0.84), [human_body] is touching [container_box] (score: 0.80), [human_body] is touching [red_box] (score: 0.76), [human_body] is on [operator_hand] (score: 0.12), [container_box] is behind [red_box] (score: 0.31), [container_box] is below [human_body] (score: 0.17), [container_box] is in front of [yellow_box] (score: 0.13), [operator_hand] is on [human_body] (score: 0.10), [red_box] is on [container_box] (score: 0.33), [red_box] is in front of [human_body] (score: 0.16), [red_box] is in front of [yellow_box] (score: 0.13), [yellow_box] is on [container_box] (score: 0.48), [yellow_box] is on [red_box] (score: 0.43), [yellow_box] is below [human_body] (score: 0.15), [yellow_box] is below [operator_hand] (score: 0.09)
F0013 | [human_body] is behind [container_box], [human_body] is holding [yellow_box] (score: 0.84), [human_body] is touching [container_box] (score: 0.80), [human_body] is touching [red_box] (score: 0.76), [human_body] is on [operator_hand] (score: 0.12), [container_box] is behind [red_box] (score: 0.31), [container_box] is below [human_body] (score: 0.17), [container_box] is in front of [yellow_box] (score: 0.13), [operator_hand] is on [human_body] (score: 0.10), [red_box] is on [container_box] (score: 0.33), [red_box] is in front of [human_body] (score: 0.16), [red_box] is in front of [yellow_box] (score: 0.13), [yellow_box] is on [container_box] (score: 0.48), [yellow_box] is on [red_box] (score: 0.43), [yellow_box] is below [human_body] (score: 0.15), [yellow_box] is below [operator_hand] (score: 0.09)
F0014 | [human_body] is behind [container_box], [human_body] is holding [yellow_box] (score: 0.84), [human_body] is touching [container_box] (score: 0.80), [human_body] is touching [red_box] (score: 0.76), [human_body] is on [operator_hand] (score: 0.12), [container_box] is behind [red_box] (score: 0.31), [container_box] is below [human_body] (score: 0.17), [container_box] is in front of [yellow_box] (score: 0.13), [operator_hand] is on [human_body] (score: 0.10), [red_box] is on [container_box] (score: 0.33), [red_box] is in front of [human_body] (score: 0.16), [red_box] is in front of [yellow_box] (score: 0.13), [yellow_box] is on [container_box] (score: 0.48), [yellow_box] is on [red_box] (score: 0.43), [yellow_box] is below [human_body] (score: 0.15), [yellow_box] is below [operator_hand] (score: 0.09)
F0015 | [human_body] is behind [container_box], [human_body] is holding [red_box] (score: 0.81), [human_body] is holding [container_box] (score: 0.79), [human_body] is holding [yellow_box] (score: 0.75), [human_body] is touching [component_box] (score: 0.67), [human_body] is on [operator_hand] (score: 0.12), [container_box] is on [red_box] (score: 0.14), [container_box] is on [component_box] (score: 0.10), [operator_hand] is on [human_body] (score: 0.20), [red_box] is on [container_box] (score: 0.11), [yellow_box] is on [container_box] (score: 0.29), [yellow_box] is on [red_box] (score: 0.23), [yellow_box] is on [component_box] (score: 0.15), [component_box] is on [container_box] (score: 0.35), [component_box] is on [red_box] (score: 0.28), [component_box] is in front of [yellow_box] (score: 0.18)
F0016 | [human_body] is behind [container_box], [human_body] is holding [red_box] (score: 0.81), [human_body] is holding [container_box] (score: 0.79), [human_body] is holding [yellow_box] (score: 0.75), [human_body] is touching [component_box] (score: 0.67), [human_body] is on [operator_hand] (score: 0.12), [container_box] is on [red_box] (score: 0.14), [container_box] is on [component_box] (score: 0.10), [operator_hand] is on [human_body] (score: 0.20), [red_box] is on [container_box] (score: 0.11), [yellow_box] is on [container_box] (score: 0.29), [yellow_box] is on [red_box] (score: 0.23), [yellow_box] is on [component_box] (score: 0.15), [component_box] is on [container_box] (score: 0.35), [component_box] is on [red_box] (score: 0.28), [component_box] is in front of [yellow_box] (score: 0.18)
F0017 | [human_body] is behind [container_box], [human_body] is holding [red_box] (score: 0.81), [human_body] is holding [container_box] (score: 0.79), [human_body] is holding [yellow_box] (score: 0.75), [human_body] is touching [component_box] (score: 0.67), [human_body] is on [operator_hand] (score: 0.12), [container_box] is on [red_box] (score: 0.14), [container_box] is on [component_box] (score: 0.10), [red_box] is on [container_box] (score: 0.11), [yellow_box] is on [container_box] (score: 0.29), [yellow_box] is on [red_box] (score: 0.23), [yellow_box] is on [component_box] (score: 0.15), [operator_hand] is on [human_body] (score: 0.20), [component_box] is on [container_box] (score: 0.35), [component_box] is on [red_box] (score: 0.28), [component_box] is in front of [yellow_box] (score: 0.18)
F0018 | [human_body] is behind [container_box], [human_body] is holding [red_box] (score: 0.81), [human_body] is holding [container_box] (score: 0.79), [human_body] is holding [yellow_box] (score: 0.75), [human_body] is touching [component_box] (score: 0.67), [human_body] is on [operator_hand] (score: 0.12), [container_box] is on [red_box] (score: 0.14), [container_box] is on [component_box] (score: 0.10), [operator_hand] is on [human_body] (score: 0.20), [red_box] is on [container_box] (score: 0.11), [yellow_box] is on [container_box] (score: 0.29), [yellow_box] is on [red_box] (score: 0.23), [yellow_box] is on [component_box] (score: 0.15), [component_box] is on [container_box] (score: 0.35), [component_box] is on [red_box] (score: 0.28), [component_box] is in front of [yellow_box] (score: 0.18)
